price,lprice,square,rooms,floor,mfloor,station,metro,ametro,dmetro,link,add,lat,lon
16868430,16.640954385579633,28.1,1,14,24,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/315050363/,ул. Гастелло,55.78398,37.688755
23727300,16.982136841913224,41.7,1,31,33,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/305914513/,ул. Гастелло,55.78398,37.688755
15750000,16.572350923235916,36.2,2,5,9,метро Сокол,18 минут пешком,1,18,https://www.cian.ru/sale/flat/316120400/,"ул. Короленко, 1К12",55.797928,37.690785
20990000,16.859556691796815,65.0,3,4,6,метро Сокол,18 минут пешком,1,18,https://www.cian.ru/sale/flat/313939882/,"ул. Стромынка, 23/16",55.794902,37.700038
27045800,17.113042283179258,54.2,2,9,28,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/314606810/,ул. Гастелло,55.78398,37.688755
20900000,16.855259716935038,50.6,2,2,9,метро Сокол,11 минут пешком,1,11,https://www.cian.ru/sale/flat/311875348/,"ул. Охотничья, 3",55.794285,37.685862
25826600,17.066915526520322,49.1,2,22,24,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/307992870/,ул. Гастелло,55.78398,37.688755
24100000,16.997722398460883,90.0,5,5,5,метро Сокол,17 минут пешком,1,17,https://www.cian.ru/sale/flat/308888721/,"Колодезная ул., 7К2",55.79643,37.697558
21880000,16.901083535518055,63.0,3,5,9,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/313417590/,"ул. Гастелло, 37",55.784091,37.69074
22678000,16.936905849513924,42.5,1,25,28,метро Сокол,14 минут пешком,1,14,https://www.cian.ru/sale/flat/305914429/,ул. Гастелло,55.78398,37.688755
23967000,16.99218844213229,52.7,2,3,14,метро Сокол,11 минут пешком,1,11,https://www.cian.ru/sale/flat/298575140/,"ул. Матросская Тишина, 12",55.786009,37.690192
